,theta,easting,northing,channel_width_dem,channel_width_water,channel_width_mean,bar_width,bar_height,sample,ratio
0,5,324758.7463852133,3334634.9630728867,296,448,372.0,197.0,5.422837920371627,10,1.8883248730964468
1,5,325544.40912791877,3334451.0216091503,277,157,217.0,104.0,-4.995061210149028,10,2.0865384615384617
2,5,325145.5857899671,3334262.2863295972,162,82,122.0,54.0,-5.773572178649582,10,2.259259259259259
3,5,324939.4197132455,3334648.77712569,239,195,217.0,122.0,-5.024898606660443,10,1.778688524590164
4,5,324842.8514262377,3334633.002046105,251,191,221.0,95.0,-5.297900813322666,10,2.3263157894736843
5,5,324965.5227812114,3334655.139456636,204,196,200.0,103.0,5.365080921130325,10,1.941747572815534
6,5,325334.1466277638,3334286.5156633942,210,115,162.5,33.0,4.8351750101947975,10,4.924242424242424
7,5,324842.80766588124,3334344.6918443376,235,177,206.0,100.0,5.307684963690751,10,2.06
8,5,324992.4973962247,3334662.5912465556,188,197,192.5,139.0,5.328748137976696,10,1.3848920863309353
9,5,324755.6523608726,3334636.052501133,296,57,176.5,122.0,-4.961625898789369,10,1.4467213114754098
0,6,324758.7463852133,3334634.9630728867,291,448,369.5,123.0,4.981447798168489,10,3.0040650406504064
1,6,325448.75604789786,3334351.533662352,205,170,187.5,64.0,-5.476269844767247,10,2.9296875
2,6,325256.0989837226,3334782.473608765,278,180,229.0,30.0,-5.043934867584197,10,7.633333333333334
3,6,325582.9753913861,3334522.140458451,246,150,198.0,103.0,4.834658980750843,10,1.9223300970873787
4,6,325373.49731027876,3334301.1142287743,208,108,158.0,51.0,4.709040600663492,10,3.0980392156862746
5,6,325477.77881758765,3334377.3316725413,221,121,171.0,118.0,4.947230881545392,10,1.4491525423728813
6,6,325258.40860419115,3334783.1708516353,275,170,222.5,33.0,-4.910470515871563,10,6.742424242424242
7,6,325595.6999261533,3334702.11641578,323,223,273.0,158.0,-4.734251686825075,10,1.7278481012658229
8,6,325173.0397645167,3334262.199204347,208,82,145.0,46.0,-4.788957361300227,10,3.152173913043478
9,6,325605.63569550385,3334663.245110521,269,220,244.5,118.0,-4.312338316120407,10,2.0720338983050848
0,7,325353.7130294207,3334808.4458767343,167,83,125.0,11.0,-5.294292726609351,10,11.363636363636363
1,7,325590.99368230783,3334542.4040995906,283,171,227.0,105.0,-4.861696092108326,10,2.1619047619047618
2,7,325031.6299687894,3334275.6646668594,219,148,183.5,55.0,-4.805189957266624,10,3.3363636363636364
3,7,325605.63569550385,3334663.245110521,277,220,248.5,115.0,4.854845157470082,10,2.1608695652173915
4,7,325475.0768420623,3334808.6202489566,216,164,190.0,101.0,-4.353520415738854,10,1.881188118811881
5,7,325505.9300246491,3334405.0035237246,254,119,186.5,128.0,5.1487906118506235,10,1.45703125
6,7,325515.2118668242,3334792.932292843,267,152,209.5,123.0,5.109017138495572,10,1.7032520325203253
7,7,325495.81980936916,3334801.9528679466,290,118,204.0,137.0,5.175627848580888,10,1.489051094890511
8,7,325173.0397645167,3334262.199204347,193,82,137.5,78.0,-4.794913206447204,10,1.7628205128205128
9,7,325585.9820755528,3334721.900685195,251,253,252.0,131.0,-5.341485445668302,10,1.9236641221374047
0,8,324773.34481661377,3334380.2513146237,226,122,174.0,84.0,5.020683354878646,10,2.0714285714285716
1,8,325200.40658687404,3334263.245094664,210,83,146.5,88.0,-5.178760250533314,10,1.6647727272727273
2,8,324760.4459170554,3334634.6144557307,408,135,271.5,173.0,-4.561173258620116,10,1.569364161849711
3,8,325353.8437595151,3334292.7908707233,217,116,166.5,115.0,-4.936136115614845,10,1.4478260869565218
4,8,325564.4546612122,3334753.320192458,330,261,295.5,196.0,-5.116479466406727,10,1.5076530612244898
5,8,325601.14726127806,3334583.715779584,291,222,256.5,115.0,-5.137068904579688,10,2.2304347826086954
6,8,324769.4228145983,3334382.4301933832,259,119,189.0,111.0,-4.645415153939867,10,1.7027027027027026
7,8,325227.99128893187,3334265.336842259,230,83,156.5,87.0,4.786281791761378,10,1.7988505747126438
8,8,325585.9820755528,3334721.900685195,278,253,265.5,102.0,5.365958281356767,10,2.6029411764705883
9,8,324767.2874972273,3334383.519626885,223,117,170.0,83.0,5.451513115556852,10,2.0481927710843375
