,theta,easting,northing,channel_width_dem,channel_width_water,channel_width_mean,bar_width,bar_height,sample,ratio
5,27,325304.0344526448,3334797.9000887126,196,112,154.0,39.0,5.187728082813813,10,3.948717948717949
6,27,325532.4252683432,3334434.9850001712,297,179,238.0,132.0,-4.77572793687173,10,1.803030303030303
7,27,325405.0475809671,3334318.3710212666,304,164,234.0,132.0,-4.894370445919332,10,1.7727272727272727
8,27,324760.4459170554,3334634.6144557307,272,246,259.0,106.0,4.82311437381576,10,2.443396226415094
9,27,325582.9753913861,3334522.140458451,295,278,286.5,90.0,-4.271757165201979,10,3.183333333333333
0,28,325047.4489234125,3334680.5452777944,200,220,210.0,135.0,-4.5100729619584685,10,1.5555555555555556
1,28,325495.81980936916,3334801.9528679466,268,150,209.0,110.0,-4.769835853704144,10,1.9
2,28,325505.9300246491,3334405.0035237246,302,150,226.0,121.0,-4.198620223842351,10,1.8677685950413223
3,28,325405.5268915321,3334814.285299212,172,116,144.0,33.0,5.030559662559094,10,4.363636363636363
4,28,325492.2901988519,3334391.1458100327,223,142,182.5,95.0,-4.898077772411388,10,1.9210526315789473
5,28,325353.7130294207,3334808.4458767343,170,57,113.5,33.0,4.975710442604227,10,3.4393939393939394
6,28,325073.5955646208,3334690.873203087,229,246,237.5,130.0,-4.539198690550647,10,1.8269230769230769
7,28,325328.9608960046,3334804.0009597824,184,86,135.0,39.0,-4.84963393044027,10,3.4615384615384617
8,28,325472.5929096375,3334808.7509809975,238,110,174.0,97.0,-5.095853712953837,10,1.7938144329896908
9,28,324944.0822852097,3334301.2012393097,247,197,222.0,85.0,5.045323742772139,10,2.611764705882353
0,29,325274.75018680457,3334271.5248930263,253,88,170.5,114.0,-4.779712004740646,10,1.4956140350877194
1,29,325419.4718073802,3334328.3938980345,320,218,269.0,117.0,-4.726978231302653,10,2.299145299145299
2,29,325047.4489234125,3334680.5452777944,210,221,215.5,145.0,-4.579015948993576,10,1.486206896551724
3,29,325575.21856535715,3334503.5763476514,333,276,304.5,73.0,-4.568252014089819,10,4.171232876712328
4,29,324890.30736981856,3334322.380026023,181,187,184.0,73.0,5.432339171418776,10,2.5205479452054793
5,29,324780.66598608927,3334632.130526611,259,20,139.5,132.0,4.8807144420253685,10,1.0568181818181819
6,29,324758.0055631192,3334635.180958705,275,258,266.5,109.0,4.856752654095881,10,2.444954128440367
7,29,325586.9407854745,3334720.244731535,252,192,222.0,121.0,-5.036055566971372,10,1.834710743801653
8,29,325169.2922177315,3334739.070221893,356,218,287.0,149.0,-5.215126348071798,10,1.9261744966442953
9,29,324842.80766588124,3334344.6918443376,273,136,204.5,63.0,4.716926628052455,10,3.246031746031746
0,30,324758.0055631192,3334635.180958705,280,263,271.5,163.0,5.354058334341239,10,1.665644171779141
1,30,325200.40658687404,3334263.245094664,255,91,173.0,96.0,-4.885782557203004,10,1.8020833333333333
2,30,324780.66598608927,3334632.130526611,262,13,137.5,127.0,5.256326338474034,10,1.0826771653543308
3,30,325532.4252683432,3334434.9850001712,253,174,213.5,96.0,-5.205375872460133,10,2.2239583333333335
4,30,325173.0397645167,3334262.199204347,235,93,164.0,72.0,-5.0804281437666505,10,2.2777777777777777
5,30,324794.3492663547,3334369.269715854,266,209,237.5,70.0,5.379074827318325,10,3.392857142857143
6,30,325091.1571823051,3334265.7725144387,238,107,172.5,55.0,5.337003863675136,10,3.1363636363636362
7,30,324867.6907412172,3334635.747429799,255,118,186.5,166.0,-5.184237594414057,10,1.1234939759036144
8,30,325146.893285126,3334726.82486727,367,219,293.0,155.0,-5.2141183824609065,10,1.8903225806451613
9,30,325380.1211093549,3334812.367872716,157,117,137.0,17.0,-5.834672216332667,10,8.058823529411764
