,river,bar,minSlope,medianSlope,maxSlope
95,Sacramento,3.0,1.2812905199676243,1.2812905199676243,1.2812905199676243
96,Sacramento,6.0,1.612070428721259,2.1814730969609744,2.705701359594847
97,Tombigbee,0.0,1.3209331949279453,1.66509557389411,1.907567479178141
98,Tombigbee,1.0,1.03985149469432,3.224333847907661,5.408816201121002
99,Tombigbee,2.0,0.7722692195166588,3.2063827283589013,7.579129589529779
100,Tombigbee,5.0,1.9708391175017348,2.9709849610495045,3.9711308045972746
101,Tombigbee,7.0,1.2845043040569875,1.2845043040569875,1.2845043040569875
102,Tombigbee,8.0,0.7179729700134736,0.8833473117712256,1.0421045821684876
103,Tombigbee,9.0,0.818437133600843,4.273755654878887,7.72907417615693
104,Trinity,0.0,2.581459332764723,2.861905772483264,3.1423522122018053
105,Trinity,3.0,1.8168092463724415,7.38408578297904,12.951362319585638
106,Trinity,5.0,4.728835235870635,4.906812368211597,5.084789500552559
107,Trinity,6.0,6.465483198612701,21.16538891298575,35.8652946273588
108,Trinity,7.0,1.633889679052555,2.089529447627692,2.545169216202829
109,Trinity,8.0,2.7415200279678618,2.7415200279678618,2.7415200279678618
110,Trinity,12.0,2.114893207615214,12.05984249045191,22.004791773288606
111,Trinity,14.0,1.2679844814312249,1.336798851995967,1.4056132225607092
112,Trinity,15.0,2.1509286001247365,2.1509286001247365,2.1509286001247365
113,Trinity,16.0,1.362934819147484,1.757917813830351,2.1529008085132184
114,Trinity,18.0,2.979305266918899,2.979305266918899,2.979305266918899
115,Trinity,19.0,1.4970201562547525,1.8246936336856323,2.152367111116512
116,Trinity,20.0,2.0843727917234784,2.0843727917234784,2.0843727917234784
117,Trinity,25.0,1.609231046529175,1.609231046529175,1.609231046529175
118,White,0.0,4.355092923672114,15.602172798182847,28.23124695075061
119,White,1.0,6.463344453761371,6.463344453761371,6.463344453761371
120,White,2.0,4.577367901273403,6.111233895512062,8.347491256513267
121,White,3.0,6.115518663735511,12.28951529123772,19.18095332529103
122,White,4.0,5.842602723616489,11.677590946602315,17.51257916958814
123,White,5.0,2.811485805885347,3.831042471018678,5.430378530921143
124,White,6.0,10.659137336698466,10.659137336698466,10.659137336698466
