,river,bar,easting,northing,channel_width_mean,bar_width,curvature
38,Nestucca River,9,430866.2193773242,5007504.957651425,130.5,92.5,102.32108666706866
39,Nestucca River,10,430551.8883284357,5006849.0246709315,89.0,48.0,280.52810094525466
40,Powder River,1,519944.9999747514,4347923.999785872,80.0,26.0,47.43439658556601
41,Powder River,2,523907.9998383893,4353224.999893463,111.5,19.0,47.43439658556601
42,Powder River,3,528668.999856439,4353392.999895734,124.5,22.0,47.43439658556601
43,Powder River,4,526459.5000576046,4353929.9997689,116.75,61.5,47.43439658556601
44,Powder River,5,524626.4998426815,4354232.999858778,98.5,34.0,47.43439658556601
45,Powder River,9,535118.9999151872,4357451.9998923065,122.0,50.0,47.43439658556601
46,Powder River,11,542146.5000225848,4359391.499926403,100.5,33.5,47.43439658556601
47,Powder River,13,545538.0001974811,4361660.999935862,154.0,72.0,47.43439658556601
48,Red River,1,405881.1500475945,3713972.3829353196,255.0,59.0,4580.809371045039
49,Red River,2,408127.137646545,3713468.383408279,270.0,81.5,1184.705787115147
50,Red River,3,408212.238158445,3711236.504283187,193.0,68.5,1154.9131225486435
51,Red River,4,412996.5907660828,3712830.881803032,243.5,79.0,1260.327090091184
52,Red River,5,414378.3639633242,3716358.520551175,202.0,57.0,1274.7980029345135
53,Red River,6,417992.8076876021,3717592.458018772,253.25,92.0,1153.3111731992867
54,Red River,7,420082.7498765193,3718295.642959291,215.0,102.0,1656.7243602848152
55,Red River,8,424604.19126249134,3718417.80029102,264.0,72.0,3972.9773507412438
56,Red River,9,424230.6701488374,3714109.909153648,248.5,82.0,12375.761609832683
57,Red River,10,426146.4790696511,3712980.47987847,217.0,59.0,1909.36718914758
58,Red River,11,426340.6570908023,3710468.479353407,247.25,138.0,3102160654.7443314
59,Red River,12,430477.5640535899,3709619.2185139107,312.5,68.5,156210280.62186408
60,Red River,13,429906.50926802156,3708315.773074132,281.5,65.0,1204.6726334106415
61,Red River,14,431527.16387400404,3707272.5930584352,293.5,94.0,5740.442106449477
62,Red River,15,432709.4323741551,3703622.504119858,296.0,79.0,3017.8190704851395
63,Red River,16,431472.11718581954,3701668.72419871,186.0,82.0,1033.9619831459145
64,Red River,17,433269.96261028,3696679.232734964,309.25,101.5,659310245.4136674
65,Red River,18,434427.78094019776,3689176.253744863,282.0,72.0,620.7510319248688
66,Red River,19,437652.77506622276,3687124.7080944837,212.25,73.0,1938.4414526033027
67,Red River,20,435196.5429593101,3685351.129466318,284.25,83.0,27909.115665701152
68,Red River,21,434394.1774253625,3682038.744449721,278.0,99.0,4228.110503124989
69,Red River,22,432315.8814964765,3682324.3559512068,274.25,92.5,1743.5323938730792
70,Red River,23,432154.13918154046,3677465.382505878,271.0,74.5,1710.5027638898634
71,Red River,24,429120.43469678005,3671634.022361572,222.75,73.5,789.6694140619333
72,Rio Grande River,0,645932.042845028,2867747.234201465,134.5,80.0,239.01844599342226
73,Rio Grande River,1,646922.8321441929,2866402.254150739,118.5,69.0,236.1885989972003
74,Rio Grande River,2,650396.6838166335,2865301.4861510005,236.0,89.0,97.07577350553912
75,Rio Grande River,3,650620.1071643489,2863286.80217505,124.0,74.0,156.13195098147128
76,Rio Grande River,4,651529.6438361875,2863802.473961747,116.0,87.0,122.65840921133375
77,Rio Grande River,5,653345.2006765797,2864185.7803264973,109.5,81.0,136.72290978357282
78,Rio Grande River,7,654647.7089455008,2862142.3928481215,137.75,43.5,452.84459701645045
79,Rio Grande River,8,655807.9067915264,2861961.1232440937,158.0,64.0,190.21574805049806
80,Rio Grande River,9,655832.7926585235,2860571.92820444,98.5,67.0,169.47692222736455
81,Rio Grande River,10,659053.057153353,2859078.4662090815,227.0,70.0,140.48530920415504
82,Rio Grande River,11,659478.035831862,2861330.7811509846,84.0,75.5,160.32770806593294
83,Rio Grande River,12,659422.1770306986,2860915.47256816,114.25,74.0,296.4246601040681
84,Rio Grande River,13,659655.1197312635,2859581.254544064,132.5,72.0,274.0814838873554
85,Rio Grande River,14,659724.8109658958,2858896.028295685,83.5,67.0,156.13432216231823
86,Rio Grande River,15,661294.6824338427,2858837.4508799473,101.0,71.5,164.18789413468906
87,Rio Grande River,16,661699.6687955463,2859289.8746533287,114.5,107.0,193.48524392640383
88,Rio Grande River,17,663231.0341134283,2859949.3237111154,93.0,76.5,409.94307189243165
89,Rio Grande River,18,662872.0241986803,2860558.7092005378,100.75,104.0,994.1077451178911
90,Rio Grande River,19,664251.5597506403,2862221.109064161,97.0,56.5,655.9988275641468
91,Rio Grande River,20,664338.6068134652,2863292.581559517,125.5,52.5,233.10654300292055
92,Rio Grande River,21,664570.5329527362,2864224.5185269397,127.0,82.5,220.3118318047544
93,Rio Grande River,22,663608.2160920971,2864670.8001580765,112.5,54.0,400.76606902757266
94,Rio Grande River,23,662839.1731695025,2866438.41236569,152.0,59.0,223.2050189097445
95,Rio Grande River,24,663385.0125790816,2866731.973358079,174.0,64.0,157.8221620015484
96,Rio Grande River,25,666635.9833876682,2867951.261096306,109.5,76.5,200.36995903420836
97,Sacramento River,0,586053.0028548808,4390938.001808738,299.0,60.0,581.5817017680762
98,Sacramento River,2,587033.99442395,4386129.000943101,267.0,75.0,732.7653389494511
99,Sacramento River,3,587789.9984563912,4385610.003244942,320.0,112.0,529.8172038181962
100,Sacramento River,4,586724.9849123171,4379465.997466667,372.0,179.0,329.1236031615486
101,Sacramento River,6,586121.9729308093,4372349.989514211,248.5,179.0,627.1745261413236
102,Tombigbee River,0,411910.57587134384,3478383.9621063247,380.0,95.5,841.8158735973183
103,Tombigbee River,1,413160.0793158256,3476279.459781438,328.0,77.0,619.3044004766106
104,Tombigbee River,2,412648.57691467425,3475202.4579307376,374.25,81.0,655.5632546931397
105,Tombigbee River,5,408628.5772943693,3464564.4461679547,257.0,95.0,656.1555395839907
106,Tombigbee River,8,409521.0903471221,3447833.4118040595,323.0,124.0,659.982459658571
107,Tombigbee River,9,409521.0903471221,3447818.413378785,320.5,67.0,659.982459658571
108,Trinity River,0,324305.61718690244,3320541.744944325,207.5,124.0,665.727372391202
109,Trinity River,1,324523.10556477064,3320957.114985564,218.0,133.5,498.0791593496783
110,Trinity River,2,324310.3003558491,3321783.172398188,191.75,103.5,887.1061050326168
111,Trinity River,3,324323.079794629,3322250.295274931,221.25,112.0,388.03805563720096
112,Trinity River,4,323910.24957330583,3322887.7570909075,152.25,106.5,735.4074491675296
113,Trinity River,5,323493.6888094543,3325159.5533987735,173.75,107.0,537.8219099100265
114,Trinity River,6,324540.88550178346,3326275.8856254425,149.25,85.0,499.8860487509296
115,Trinity River,7,324502.9441734513,3327182.2707682312,170.5,107.0,345.0394932273643
116,Trinity River,8,323989.6244898831,3327590.8144606147,177.0,119.5,342.2945132248052
117,Trinity River,9,324524.2168020954,3328542.125827733,192.25,136.0,670.6242778969278
118,Trinity River,10,324446.74603067973,3329720.45015933,138.75,78.5,840.0337268057115
119,Trinity River,11,324464.1298052911,3330256.7881148728,178.75,89.5,682.0519250694235
120,Trinity River,12,324551.5620841364,3330916.1537806652,157.5,103.0,596.0850713119949
121,Trinity River,13,324897.4283133809,3331298.8888615635,205.5,126.0,387.9882456679203
122,Trinity River,14,325298.00862944336,3331433.2979807225,196.5,84.0,194.81277288531018
123,Trinity River,15,325366.0066585657,3332350.2133704834,215.25,126.5,1677.1276377634301
124,Trinity River,16,325148.2534978711,3332728.964979117,177.5,109.0,764.4844963345088
125,Trinity River,17,325013.58081275417,3333214.079726395,182.5,88.5,410.36060420131975
126,Trinity River,18,323956.8324071149,3334171.740911045,198.5,102.0,325.137287828499
127,Trinity River,19,325241.91693204787,3334394.5204307106,204.5,95.0,707.1270910399273
128,Trinity River,20,324728.09441351064,3334791.660836525,224.5,123.0,367.239707035637
129,Trinity River,21,325768.2574648509,3335530.334559222,179.75,76.0,1033.1092192353517
130,Trinity River,22,325711.83296269376,3336705.571961384,191.0,91.0,776.2998676936485
131,Trinity River,23,325711.30485733174,3338377.080991488,212.75,118.0,585.7570398387666
132,Trinity River,24,324368.5408875166,3338603.4312377563,196.5,95.0,756.1153381348932
133,Trinity River,25,322315.7678757567,3340803.049326686,242.0,133.5,484.6155230205745
134,White River,9,521310.0001015208,4347728.999653537,88.0,8.8392,2279.783242802116
135,White River,11,529359.0001084807,4354439.999930057,90.0,10.668,352.20365859264405
136,White River,13,535118.9999151872,4357451.9998923065,122.0,15.5448,247.8387009194231
