,river,theta
178,Trinity,7.077697252665416
179,Trinity,6.091479958685029
180,Trinity,8.866341053239593
181,Trinity,3.8907858319830884
182,Trinity,5.145299024796889
183,Trinity,4.8017172164970425
184,Trinity,5.469242164945525
185,Trinity,6.531048280575446
186,Trinity,6.704999540581799
187,Trinity,6.163767206916315
188,Trinity,7.076318344405043
189,Trinity,7.465189401363599
190,Trinity,6.148803980712054
191,Trinity,4.11581432856592
192,Trinity,3.7081215389560613
193,Red,11.228204188126279
194,Red,10.933192518095005
195,Red,10.93418037089695
196,Red,9.942661050694525
197,Red,7.857445899580823
198,Red,6.969343563539873
199,Red,4.24668073286421
200,Red,9.349460047019342
201,Red,7.878546787011678
202,Red,5.807388469001286
203,Red,9.568464956808679
204,Red,8.284250579558742
205,Red,10.478748755685872
206,Red,10.179418178495048
207,Red,10.594553743505733
208,Red,7.984974263055836
209,Red,9.483722368692893
210,Red,8.075368012156922
211,Red,17.989355122354414
212,Red,17.807986820947566
213,Red,11.696079422795771
214,Red,9.639952958536377
215,Red,8.345808967792166
216,Red,5.861579617648039
217,Red,12.571099035525501
218,Red,13.14810757049723
219,Red,12.400035110137026
220,Red,7.790467086727996
221,Red,9.33784536768186
222,Red,7.180565468365472
223,Red,8.176146581657344
224,Red,5.948530537906223
225,Red,8.62636534518455
226,Red,7.030606764979351
227,Red,10.985557505999994
228,Red,10.256852275744961
229,Red,10.781186471094578
230,Red,12.35321703532825
231,Red,7.948462143863409
232,Red,11.159120117034057
233,Red,14.362305644264888
234,Red,11.738044952614738
235,Red,11.324500505487531
236,Red,8.660974056313727
237,Red,7.611020414407555
238,Red,7.965857704734465
239,Red,9.810403511544193
240,Red,10.994722241932307
241,Red,9.287622505857819
242,Red,5.938559344572486
243,Red,11.570735875139908
244,Red,7.986762977982797
245,Red,8.723378801342976
246,Red,7.389427388563444
247,Red,6.620079922907118
248,Red,9.783259808621283
249,Red,14.626033985522641
250,Red,13.248945859753366
251,Red,12.89036633566759
252,Red,11.620518045534688
253,Red,8.368034849037485
254,Red,7.718885393341263
255,Red,5.358333542014021
256,Red,7.972409141137465
257,Red,7.492172031375605
258,Red,7.169410284887737
259,Red,8.29821881066685
260,Red,9.000687394024963
261,Red,5.2040835193043025
262,Red,10.046390151698816
263,Red,11.631228728105961
264,Red,19.718556863323542
265,Red,7.644543178022779
266,Red,7.3053881079543315
267,Red,10.477080558517004
268,Red,6.742065293438411
269,Red,8.163228816478988
270,Red,9.161422751710363
271,Red,8.758226654901685
272,Red,6.822217890795431
273,Red,12.164162363909961
274,Red,10.546184075000228
275,Red,9.249199207379764
276,Red,7.3382040183644355
