,Unnamed: 0,bar,idx,easting,northing,channel_width_dem,channel_width_water,channel_width_mean,bar_width,bar_height,distance,river,normalized_distance,normalized_width
14,14,7,7_12,-1042099.4724345405,2525738.769646244,772.0,436.0,604.0,291.0,5.983773425967739,4878.624671118775,Koyukuk River,0.897923101914884,0.9667405764966741
15,15,7,7_16,-1040073.3289175472,2524499.151906296,606.0,411.0,508.5,241.0,8.339763324626208,5433.232156199975,Koyukuk River,1.0,0.9113082039911308
16,16,8,8_3,-1036004.3262172623,2520426.930044542,561.0,416.0,488.5,190.0,6.798791301805972,0.0,Koyukuk River,0.0,1.1063829787234043
17,17,8,8_4,-1036349.6481914788,2520703.0905402377,677.0,336.0,506.5,221.0,9.291606879803602,442.16725937098624,Koyukuk River,1.0,0.8936170212765957
18,18,9,9_0,-1036004.3262172623,2520426.930044542,561.0,416.0,488.5,200.0,7.064647678409285,0.0,Koyukuk River,0.0,1.0
19,19,9,9_2,-1036571.1662766784,2520962.0067413487,692.0,330.0,511.0,181.0,8.157698873431062,779.4964556842685,Koyukuk River,0.2497389196244931,0.7932692307692307
20,21,9,9_10,-1039123.5972642356,2520315.929942458,772.0,626.0,699.0,140.0,5.128041764230514,3121.245406428112,Koyukuk River,1.0,1.5048076923076923
21,22,10,10_3,-1034653.814678612,2512871.042132796,722.0,320.0,521.0,251.0,7.53738474856772,0.0,Koyukuk River,0.0,0.9248554913294798
22,23,10,10_4,-1034701.7964560441,2512126.3773336858,641.0,295.0,468.0,191.0,6.7834926507352415,746.2090283554077,Koyukuk River,0.3394463602420581,0.8526011560693642
23,24,10,10_6,-1034451.3886633985,2511426.763962646,727.0,341.0,534.0,251.0,7.91716184393168,1458.3949137344223,Koyukuk River,0.6634157809022071,0.9855491329479769
24,25,10,10_9,-1033126.7446670388,2511289.703110097,571.0,366.0,468.5,351.0,8.83224442799498,2198.3120626872783,Koyukuk River,1.0,1.0578034682080926
25,26,10,10_10,-1033991.7922354428,2511050.0302768103,762.0,471.0,616.5,311.0,5.753321162067339,1937.616550016945,Koyukuk River,0.8814110530096205,1.361271676300578
26,27,10,10_11,-1032893.672557883,2511797.8582770242,702.0,346.0,524.0,181.0,6.243924125182991,2061.510095404186,Koyukuk River,0.937769541638296,1.0
27,28,10,10_13,-1032490.2984765784,2512612.985764671,566.0,366.0,466.0,161.0,3.3280037323327134,2178.851864076961,Koyukuk River,0.9911476632728256,1.0578034682080926
28,29,11,11_3,-1031417.0808338851,2507850.0017835083,546.0,336.0,441.0,301.0,7.492115426557652,0.0,Koyukuk River,0.0,0.9118046132971506
29,30,11,11_6,-1031758.7521206676,2506678.0353251323,526.0,401.0,463.5,250.0,7.3752149156757145,1220.755769091449,Koyukuk River,1.0,1.0881953867028493
30,31,12,12_1,-1031005.5548348166,2503832.957836407,461.0,195.0,328.0,261.0,8.32255335045504,0.0,Koyukuk River,1.0,1.0
0,0,2,2_4,542778.0001648059,4515911.999861749,422.0,422.0,422.0,173.0,0.471919397511421,,Platte River,,0.8290766208251473
1,1,2,2_5,550380.0001161286,4515887.999633798,448.0,448.0,448.0,190.0,0.8433201086334509,,Platte River,,0.8801571709233792
2,2,2,2_13,426335.9998213994,4515788.999901641,699.0,699.0,699.0,242.0,0.8555933769263976,,Platte River,,1.3732809430255404
